"CWNS_ID","FACILITY_ID","STATE_CODE","CONGRESSIONAL_DISTRICT_ID","CD_PRIMARY_FLAG"
"41000004001",1164259,OR,"4105",Y
"41000063001",1164325,OR,"4102",Y
"41000254001",1164467,OR,"4102",Y
"47000490002",1166050,TN,"4703",Y
"72000006003",1144045,PR,"7298",Y
"22001295001",1168270,LA,"2204",Y
"22003156001",1168416,LA,"2201",Y
"22003329002",1168526,LA,"2203",Y
"49000027001",1170384,UT,"4902",Y
"49000116001",1170466,UT,"4903",Y
"40000394001",1172660,OK,"4002",Y
"40000442001",1172689,OK,"4003",Y
"08000037001",1066840,CO,"0802",Y
"08000216001",1067008,CO,"0803",Y
"09000591001",1071836,CT,"0902",Y
"34003080001",1073642,NJ,"3404",Y
"34003503001",1073667,NJ,"3403",Y
"34008215001",1073913,NJ,"3407",Y
"34009503001",1073965,NJ,"3405",Y
"12000001049",1078121,FL,"1223",Y
"12000303001",1078410,FL,"1206",Y
"39003815001",1081133,OH,"3902",Y
"17000235001",1113512,IL,"1713",Y
"17000366001",1113634,IL,"1717",Y
"17000716001",1113990,IL,"1706",Y
"17000721001",1113995,IL,"1704",Y
"17007103001",1114292,IL,"1715",Y
"17007709001",1114373,IL,"1712",Y
"18000231001",1120149,IN,"1803",Y
"18005835001",1120518,IN,"1803",Y
"19000049001",1123496,IA,"1904",Y
"19000692001",1124058,IA,"1904",Y
"20000498001",1130301,KS,"2003",Y
"29001045001",1133326,MO,"2904",Y
"29001131001",1133411,MO,"2907",Y
"29002041001",1133652,MO,"2906",Y
"21000174001",1139615,KY,"2102",Y
"21000357001",1139756,KY,"2101",Y
"44000005001",1144287,RI,"4402",Y
"31000170001",1145774,NE,"3103",Y
"31001638001",1145976,NE,"3103",Y
"31003010001",1146094,NE,"3101",Y
"27000023001",1147915,MN,"2705",Y
"37005202001",1153476,NC,"3703",Y
"37006406001",1153553,NC,"3701",Y
"41000069001",1164331,OR,"4104",Y
"47000535001",1166055,TN,"4706",Y
"22000885001",1168239,LA,"2204",Y
"49000022001",1170379,UT,"4902",Y
"40000554001",1172760,OK,"4002",Y
"06002041001",1175299,CA,"0617",Y
"06003072001",1175440,CA,"0624",Y
"06007022001",1175930,CA,"0625",Y
"06008044001",1175998,CA,"0645",Y
"46000013001",1179119,SD,"4600",Y
"53000922005",1180866,WA,"5310",Y
"51000207001",1192825,VA,"5109",Y
"26000634003",1088615,MI,"2611",Y
"50000150002",1094161,VT,"5000",Y
"54002716001",1095017,WV,"5401",Y
"33000078002",1100968,NH,"3301",Y
"01000123001",1101954,AL,"0107",Y
"01000270001",1102099,AL,"0102",Y
"05000484002",1105268,AR,"0501",Y
"48007039012",1183827,TX,"4818",Y
"51000279001",1192904,VA,"5106",Y
"56000092001",1194842,WY,"5600",Y
"36001004001",1220241,NY,"3603",Y
"36003102001",1220529,NY,"3619",Y
"36003169005",1220634,NY,"3616",Y
"36005036001",1220850,NY,"3620",Y
"36008143001",1221298,NY,"3624",Y
"36003056001",1232111,NY,"3618",Y
"36008119001",1232174,NY,"3624",Y
"19000684001",1234675,IA,"1903",Y
"21000292001",1235514,KY,"2105",Y
"40000414001",1236873,OK,"4003",Y
"22000005001",1237404,LA,"2203",Y
"39008148002",2806726,OH,"3913",Y
"17000639001",2810120,IL,"1708",Y
"39010930001",2813948,OH,"3905",Y
"12000258002",2923151,FL,"1211",Y
"53000882000",3085890,WA,"5301",Y
"51001400077",3109090,VA,"5109",Y
"12000017020",3318535,FL,"1224",Y
"31000226001",3348510,NE,"3103",Y
"08000109002",3419071,CO,"0804",Y
"08209000008",3500159,CO,"0804",Y
"12000700057",3500469,FL,"1201",Y
"12000286002",3508368,FL,"1218",Y
"35200900304",3514117,NM,"3501",Y
"51070000012",3514801,VA,"5109",Y
"01000312001",3520376,AL,"0103",Y
"39005051023",3520920,OH,"3907",Y
"53002012048",3528576,WA,"5307",Y
"08201200029",3528677,CO,"0805",Y
"29002211006",3530636,MO,"2902",Y
"26007003033",3539169,MI,"2601",Y
"26007003079",3539472,MI,"2601",Y
"51000010159",3541151,VA,"5104",Y
"33000081002",3541712,NH,"3301",Y
"21000295002",3542636,KY,"2102",Y
"18000008025",417837,IN,"1809",Y
"55001950002",425904,WI,"5506",Y
"41000068001",1164330,OR,"4102",Y
"22001310001",1168272,LA,"2203",Y
"22001465001",1168284,LA,"2203",Y
"22003125001",1168393,LA,"2206",Y
"22003414001",1168578,LA,"2205",Y
"49000172001",1170517,UT,"4901",Y
"40000118001",1172531,OK,"4005",Y
"06005551001",1175825,CA,"0605",Y
"46000088001",1179188,SD,"4600",Y
"53000260001",1180774,WA,"5302",Y
"53001565001",1180971,WA,"5303",Y
"34008511011",442406,NJ,"3407",Y
"34001431011",442834,NJ,"3410",Y
"12000020004",473482,FL,"1211",Y
"34006084801",492690,NJ,"3401",Y
"51000860001",492756,VA,"5106",Y
"08000400001",1067147,CO,"0806",Y
"34001388001",1073455,NJ,"3411",Y
"34006448001",1073846,NJ,"3401",Y
"34007382001",1073890,NJ,"3403",Y
"12000001028",1078104,FL,"1225",Y
"12000148001",1078304,FL,"1212",Y
"39000112001",1080534,OH,"3904",Y
"39002863001",1081046,OH,"3909",Y
"25000098001",1092393,MA,"2502",Y
"54001012001",1094766,WV,"5401",Y
"54004202001",1095207,WV,"5402",Y
"01000021001",1101849,AL,"0104",Y
"05000735001",1105526,AR,"0503",Y
"06004009003",1175479,CA,"0638",Y
"06004010003",1175493,CA,"0630",Y
"06005245002",1175731,CA,"0601",Y
"06006008001",1175861,CA,"0603",Y
"46000021001",1179126,SD,"4600",Y
"48007039084",1183851,TX,"4836",Y
"42005070001",1196572,PA,"4214",Y
"42005084001",1196584,PA,"4214",Y
"55002690001",1206371,WI,"5503",Y
"55002800001",1206385,WI,"5508",Y
"31001565001",1230231,NE,"3103",Y
"31002090001",1230252,NE,"3103",Y
"27001002001",1231511,MN,"2708",Y
"36005174001",1232138,NY,"3621",Y
"29002483001",1233263,MO,"2904",Y
"29003083001",1233271,MO,"2904",Y
"18000454001",1234178,IN,"1802",Y
"12000003001",2805300,FL,"1203",Y
"17000512003",2829909,IL,"1717",Y
"33000051001",2832682,NH,"3301",Y
"26004006012",2946565,MI,"2612",Y
"36007237002",3093988,NY,"3619",Y
"29001018050",3157408,MO,"2908",Y
"12000700006",3500144,FL,"1223",Y
"08209000079",3500231,CO,"0802",Y
"08209000110",3500262,CO,"0803",Y
"08209000124",3500276,CO,"0808",Y
"12000700031",3500421,FL,"1202",Y
"12000701024",3501048,FL,"1218",Y
"53200802015",3506140,WA,"5306",Y
"53200802060",3507291,WA,"5301",Y
"53200802077",3507350,WA,"5304",Y
"39000081019",3521076,OH,"3906",Y
"08201200012",3526856,CO,"0802",Y
"08201200064",3529956,CO,"0803",Y
"08201200112",3532576,CO,"0805",Y
"26007003044",3539185,MI,"2607",Y
"51000010109",3542036,VA,"5101",Y
"33000231002",3542455,NH,"3301",Y
"18120000084",3542897,IN,"1806",Y
"41000023002",3543120,OR,"4101",Y
"34004267011",442604,NJ,"3402",Y
"34001356011",442721,NJ,"3406",Y
"56000099021",479034,WY,"5600",Y
"39010250001",1065970,OH,"3902",Y
"04001343003",1069474,AZ,"0408",Y
"04001903001",1069549,AZ,"0406",Y
"04002302001",1069598,AZ,"0407",Y
"34007031001",1073858,NJ,"3403",Y
"12000053001",1078173,FL,"1214",Y
"12000124001",1078269,FL,"1211",Y
"39007910001",1081568,OH,"3906",Y
"25000023001",1092326,MA,"2506",Y
"25000093001",1092390,MA,"2504",Y
"54002013001",1094904,WV,"5401",Y
"01000023001",1101851,AL,"0101",Y
"01000348001",1102160,AL,"0101",Y
"17000226001",1113501,IL,"1717",Y
"17001305001",1114071,IL,"1709",Y
"17007706001",1114370,IL,"1712",Y
"33000290001",3541584,NH,"3302",Y
"34040701801",3541636,NJ,"3411",Y
"51000010094",3541829,VA,"5110",Y
"38000171001",1151416,ND,"3800",Y
"30000120001",1159172,MT,"3002",Y
"28001940001",1160826,MS,"2803",Y
"41000001002",1164256,OR,"4105",Y
"41000061001",1164323,OR,"4102",Y
"41000234001",1164449,OR,"4104",Y
"41000260001",1164472,OR,"4105",Y
"47000740001",1166096,TN,"4701",Y
"47001415001",1166212,TN,"4703",Y
"22001450001",1168282,LA,"2205",Y
"53200802082",3507356,WA,"5308",Y
"51000061001",1192650,VA,"5106",Y
"12000379006",412754,FL,"1221",Y
"18000004092",414370,IN,"1808",Y
"06029046001",415588,CA,"0649",Y
"34008503011",442518,NJ,"3407",Y
"34001440011",444236,NJ,"3405",Y
"48001125001",1182927,TX,"4828",Y
"20002004129",449391,KS,"2001",Y
"08000278001",1067066,CO,"0804",Y
"08000291001",1067079,CO,"0802",Y
"42004001001",1196224,PA,"4213",Y
"55000018001",1206012,WI,"5502",Y
"55009616001",1206895,WI,"5506",Y
"24000063001",1214339,MD,"2405",Y
"36002001002",1220306,NY,"3614",Y
"36006142001",1221032,NY,"3624",Y
"34004036001",1073705,NJ,"3402",Y
"34005103001",1073745,NJ,"3402",Y
"34008513001",1073945,NJ,"3412",Y
"12000131001",1078287,FL,"1206",Y
"12000193003",1078352,FL,"1206",Y
"50000031001",1094079,VT,"5000",Y
"51000171004",1192751,VA,"5106",Y
"51000257013",1192883,VA,"5106",Y
"56000019001",1194788,WY,"5600",Y
"56000024001",1194792,WY,"5600",Y
"56000070001",1194826,WY,"5600",Y
"42000094002",1195428,PA,"4205",Y
"42004004001",1196228,PA,"4213",Y
"55003050001",1206426,WI,"5502",Y
"55003190001",1206454,WI,"5507",Y
"55004420001",1206632,WI,"5508",Y
"24000013006",1214181,MD,"2401",Y
"09000240001",1071795,CT,"0902",Y
"12000056007",1078177,FL,"1216",Y
"12000116003",1078263,FL,"1208",Y
"39001225001",1080890,OH,"3906",Y
"39003906001",1081138,OH,"3914",Y
"25000037001",1092339,MA,"2502",Y
"25000213001",1092498,MA,"2502",Y
"50000086001",1094136,VT,"5000",Y
"54001723001",1094864,WV,"5402",Y
"05000001008",1104851,AR,"0502",Y
"31001050001",1230207,NE,"3103",Y
"31001115001",1230210,NE,"3103",Y
"31001945001",1230247,NE,"3103",Y
"19000222001",1234648,IA,"1901",Y
"21000021001",1235480,KY,"2101",Y
