"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
8951,5938,"27009302001",1148472,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9257,5938,"27000289001",1231505,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8665,5938,"27001516001",1231520,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9895,5938,"27000068001",1231488,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9256,5938,"27000211001",1148072,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9893,5938,"27002113001",1148253,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9617,5938,"27000079001",1147962,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9288,5938,"27000312001",1148136,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9346,5938,"27005602001",1148351,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8829,5938,"27009501001",1231564,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9474,5938,"27003406001",1148289,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10336,5938,"27003519001",1148300,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10078,5938,"27000197001",1148059,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10358,5938,"27007018001",1148391,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
8815,5938,"27005506001",1231544,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
10428,5938,"27009809001",1231569,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9979,5938,"27001104001",1148192,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
9670,5938,"27000130001",1148004,MN,"12a",Completed State Needs Surveys and other state forms (approved as primary),2022-10-05,2021-09-01,,,
