"CWNS_ID","FACILITY_ID","STATE_CODE","IMPLEMENTATION_STATUS","REMAINING_COST","ANNUAL_COST"
"04002800001",1069690,AZ,Considering Implementation,0,0
"04002117003",401636,AZ,Fully Implemented,0,0
"30000113001",1159167,MT,In Process of Developing,0,0
"04002103002",3533956,AZ,Fully Implemented,0,0
"04002801027",3531836,AZ,Fully Implemented,0,0
"04002511003",1069627,AZ,Fully Implemented,0,0
"54003801001",3396676,WV,Considering Implementation,30000,0
"54002505008",3514057,WV,Considering Implementation,30000,0
"23000112001",1142551,ME,Fully Implemented,0,0
"23000115001",1142554,ME,Fully Implemented,0,0
"54000214001",3537936,WV,Not Considering Implementation,0,0
"25000080001",1092377,MA,Not Considering Implementation,0,0
"25000224001",1092509,MA,Not Considering Implementation,0,0
"25000223001",1092508,MA,Not Considering Implementation,0,0
"54002007001",1094898,WV,Fully Implemented,0,32500
"54002409001",1094970,WV,Fully Implemented,0,10000
"54002412001",1094972,WV,Considering Implementation,30000,0
"54003903001",1095155,WV,Fully Implemented,0,0
"54004104001",1095184,WV,Not Considering Implementation,0,0
"54004107001",1095188,WV,Considering Implementation,30000,0
"04000311001",1069326,AZ,Fully Implemented,0,0
"04001328001",1069462,AZ,Fully Implemented,0,0
"23000066001",1142501,ME,Fully Implemented,0,0
"36004068002",1220769,NY,In Process of Developing,136224,0
"54002505005",3513996,WV,Considering Implementation,30000,0
"54003019002",3513599,WV,Considering Implementation,30000,0
"04001505002",1069523,AZ,Fully Implemented,0,0
"04002301001",1069595,AZ,Not Considering Implementation,0,0
"54005303011",494181,WV,Not Considering Implementation,0,0
"54000302005",1094712,WV,Considering Implementation,30000,0
"54000215001",3537956,WV,Not Considering Implementation,0,0
"04002709004",3530276,AZ,Fully Implemented,0,0
"23000135001",1142573,ME,Fully Implemented,0,0
"23000207001",1142624,ME,Fully Implemented,0,0
"12000018005",1239578,FL,Not Considering Implementation,0,0
"04000304001",1069323,AZ,Fully Implemented,0,0
"54000208001",1094702,WV,Not Considering Implementation,0,0
"54005505000",1095329,WV,Considering Implementation,30000,0
"12000077008",1239605,FL,Not Considering Implementation,0,0
"25000138001",3021971,MA,Not Considering Implementation,0,0
"04001322001",1069460,AZ,Fully Implemented,0,0
"04001100110",2943454,AZ,Fully Implemented,0,0
"04001304004",3114234,AZ,Fully Implemented,0,0
"04002801006",3123368,AZ,Not Considering Implementation,0,0
"30000053001",1159120,MT,Fully Implemented,0,0
"54002035001",3060308,WV,Fully Implemented,0,80000
"04002510001",1069625,AZ,Fully Implemented,0,0
"54005503001",1095327,WV,Considering Implementation,30000,0
"25000136001",1092424,MA,Not Considering Implementation,0,0
"25000206001",1092491,MA,In Process of Developing,0,0
"54000402002",1094732,WV,Considering Implementation,30000,0
"54001310001",1094811,WV,Fully Implemented,0,0
"51070000009",3513920,VA,In Process of Developing,0,0
"04001302014",3501948,AZ,In Process of Developing,0,0
"54004008001",1095170,WV,Fully Implemented,0,17000
"54005104001",1095290,WV,Considering Implementation,30000,0
"04001341005",3507582,AZ,Fully Implemented,0,0
"54002908001",3513799,WV,Considering Implementation,30000,0
"54000203001",3515736,WV,Not Considering Implementation,0,0
"54001592001",1094834,WV,Not Considering Implementation,0,0
"12000382001",1078429,FL,Not Considering Implementation,0,0
"12000001043",1078115,FL,Not Considering Implementation,0,0
"54003102001",1095086,WV,Not Considering Implementation,0,0
"54004230001",1095218,WV,Considering Implementation,30000,0
"04002801010",3115108,AZ,Fully Implemented,0,0
"04001304002",3115969,AZ,Fully Implemented,0,0
"04001322002",3171328,AZ,Fully Implemented,0,0
"54004504001",1095244,WV,Considering Implementation,30000,0
"54004807001",1095269,WV,Considering Implementation,30000,0
"23000034001",1142468,ME,Fully Implemented,0,0
"54002007010",3517376,WV,Not Considering Implementation,0,0
"23000076001",1142514,ME,Considering Implementation,0,0
"04002800101",1069696,AZ,Fully Implemented,0,0
"04001341001",1069469,AZ,Fully Implemented,0,0
"04001320002",3170169,AZ,Fully Implemented,0,0
"23000048001",1142483,ME,Fully Implemented,0,0
"54001801001",1094871,WV,Considering Implementation,30000,0
"54000000022",3607568,WV,Not Considering Implementation,0,0
"12000000017",3607318,FL,Not Considering Implementation,0,0
"02000111003",3607324,AK,Not Considering Implementation,0,0
"02000111001",1104794,AK,In Process of Developing,0,0
