"CWNS_ID","FACILITY_ID","STATE_CODE","CURRENT_EFFLUENT_TREATMENT_LEVEL","CURRENT_DISINFECTION_FLAG","FUTURE_EFFLUENT_TREATMENT_LEVEL","FUTURE_DISINFECTION_FLAG"
"36008074001",1221269,NY,Secondary,Y,Secondary,Y
"42001303001",1227191,PA,Secondary,N,Secondary,N
"42004277001",1227219,PA,Secondary,Y,Secondary,Y
"48000165001",1227748,TX,Secondary,Y,Secondary,Y
"48001170001",1227768,TX,Secondary,Y,Secondary,Y
"31002355001",1230263,NE,Secondary,N,Secondary,N
"20001614001",1230952,KS,Advanced,Y,Advanced,Y
"27001517001",1231521,MN,Secondary,N,Secondary,N
"36008020001",1232165,NY,Advanced,Y,Advanced,Y
"36008125001",1232175,NY,Advanced,Y,Advanced,Y
"19000560001",1234665,IA,Secondary,N,Advanced,Y
"47000720001",1235049,TN,Secondary,Y,Secondary,Y
"26000228001",1088429,MI,Secondary,N,Secondary,N
"26000411001",1088499,MI,Advanced,N,Advanced,N
"26003031001",1088843,MI,Secondary,N,Secondary,N
"26003137001",1088924,MI,Secondary,N,Secondary,N
"25000179002",1092462,MA,Secondary,Y,Secondary,Y
"01000305001",1102129,AL,Secondary,Y,Secondary,Y
"02000310001",1104818,AK,Secondary,Y,Secondary,Y
"05000361001",1105176,AR,Advanced,Y,Advanced,Y
"05000585001",1105385,AR,Secondary,Y,Secondary,Y
"13000842001",1109665,GA,Secondary,Y,Secondary,Y
"17000006001",1113299,IL,Secondary,N,Secondary,N
"17000031001",1113322,IL,Secondary,N,Secondary,N
"26003084001",1088887,MI,Secondary,N,Secondary,N
"17000074001",1113363,IL,Secondary,N,Secondary,Y
"17000421001",1113691,IL,Advanced,N,Advanced,N
"17000601002",1113880,IL,Advanced,N,Advanced,Y
"17005912001",1114277,IL,Secondary,N,Secondary,N
"05000058002",3106484,AR,Secondary,Y,,
"39008920015",3123498,OH,Advanced,Y,Advanced,Y
"48001658001",3126189,TX,Secondary,Y,Secondary,Y
"48001721601",3376711,TX,Secondary,Y,Secondary,Y
"54003904001",3395578,WV,Secondary,Y,Advanced,Y
"29003781002",1134017,MO,Advanced,N,Advanced,Y
"29004036002",1134060,MO,NA,N,,
"21000257001",1139682,KY,Secondary,N,Secondary,N
"35000135003",1145127,NM,Secondary,N,Secondary,N
"31000195001",1145776,NE,Advanced,Y,Advanced,Y
"31001200001",1145920,NE,Secondary,N,Secondary,N
"31001541001",1145966,NE,Advanced,N,Advanced,N
"31001703001",1145983,NE,Secondary,N,Secondary,N
"31002550001",1146071,NE,Secondary,N,Secondary,N
"31002605001",1146080,NE,Secondary,N,Secondary,N
"27000250001",1148104,MN,Advanced,Y,Advanced,Y
"27002011001",1148248,MN,Secondary,N,Secondary,N
"27003808001",1148314,MN,Secondary,N,Secondary,N
"27005906001",1148369,MN,Secondary,N,Secondary,N
"27006114001",1148373,MN,Secondary,N,Secondary,N
"27008216001",1148440,MN,Secondary,N,Secondary,N
"38000042001",1151295,ND,Secondary,N,Secondary,N
"38000075001",1151328,ND,Secondary,N,Secondary,N
"38000137001",1151384,ND,Secondary,N,Secondary,N
"38000267001",1151507,ND,Secondary,N,Secondary,N
"66000001002",1143950,GU,Primary,N,Secondary,N
